name,address,date,time
Three Pines Coffee,"""165 S Main St, Salt Lake City, UT 84111""",7/6/2025,8:00 AM
Millcreek Coffee Roasters,"""657 S Main St, Salt Lake City, UT 84111""",7/13/2025,8:00 AM
Loki Coffee,"""325 E 900 S, Salt Lake City, UT 84111""",8/31/2025,7:00 AM
Publik Coffee Roasters,"""975 S W Temple St, Salt Lake City, UT 84101""",9/7/2025,8:00 AM
Rawbean Coffee,"""611 W Temple, Salt Lake City, UT 84101""",9/14/2025,6:30 AM
Coffee Garden,"""878 E 900 S, Salt Lake City, UT 84105""",9/21/2025,7:00 AM
Sugar House Coffee,"2011 S 1100 E, Salt Lake City, UT 84106",9/28/2025,8:00 AM
Alchemy Coffee,"""390 E 1700 S, Salt Lake City, UT 84115""",10/5/2025,7:00 AM
Salt Lake Coffee Break,"""430 E 400 S, Salt Lake City, UT 84111""",10/12/2025,7:00 AM
The Red Moose Cafe,"""1693 900 E, Salt Lake City, UT 84105""",#N/A,8:00 AM
Picnic Cafe,"""1329 S 500 E, Salt Lake City, UT 84105""",#N/A,8:00 AM
The Bird Feeder Cafe,"""520 E, Salt Lake City, UT 84105""",#N/A,9:00 AM
Roots Coffee Sugar House,"""1386 S 1100 E, Salt Lake City, UT 84105""",#N/A,8:00 AM
Beans & Brews Coffee House,"""906 S 500 E, Salt Lake City, UT 84111""",#N/A,6:30 AM
Tea Zaanti,"""1944 S 1100 E, Salt Lake City, UT 84106""",#N/A,9:00 AM
Caffe Expresso,"""902 S 1100 E, Salt Lake City, UT 84105""",#N/A,6:30 AM
The Honeysuckle Coffee Co.,"""1588 S Main St #101, Salt Lake City, UT 84115""",#N/A,8:00 AM
Urban Sailor Coffee sugar house,"""1327 E 2100 S #102, Salt Lake City, UT 84105""",#N/A,8:00 AM
Tulie Bakery,"""863 E 700 S, Salt Lake City, UT 84102""",#N/A,8:00 AM
Java Jo's,"""877 S 1300 E, Salt Lake City, UT 84102""",#N/A,6:30 AM
Bjorn's Brew,"""2165 State St, South Salt Lake, UT 84115""",#N/A,6:00 AM
Logos Coffee,"""1709 E 1300 S, Salt Lake City, UT 84108""",#N/A,8:00 AM
Blue Copper Coffee Room,"""179 W 900 S, Salt Lake City, UT 84101""",#N/A,9:00 AM
Sound Brew Coffee,"""202 E 500 S, Salt Lake City, UT 84111""",#N/A,7:00 AM
Cafe Niche,"""779 E 300 S, Salt Lake City, UT 84102""",#N/A,8:00 AM
The Coffee Shop at Little America Hotel,"""500 S Main St, Salt Lake City, UT 84101""",#N/A,6:00 AM
Cold Plunge Coffee,"""457 E 300 S Suite D, Salt Lake City, UT 84111""",#N/A,9:00 AM
Roots Coffee Salt Lake City,"""1386 S 1100 E, Salt Lake City, UT 84105""",#N/A,8:00 AM
Cozy Coffee Lounge,"""2580 S Main St, South Salt Lake, UT 84115""",#N/A,9:00 AM
Midway Coffee,"""270 S 300 E, Salt Lake City, UT 84111""",#N/A,7:30 AM
Coffee Noir,"""1035 E 200 S, Salt Lake City, UT 84102""",#N/A,7:00 AM
Culture Coffee,"""285 N 900 W, Salt Lake City, UT 84116""",#N/A,8:00 AM
Un Cafecito SLC,"""838 W North Temple St A, Salt Lake City, UT 84116""",#N/A,8:00 AM
Mestizo Coffee House,"""631 North Temple, Salt Lake City, UT 84116""",#N/A,8:00 AM
La Barba Coffee,"""9 S Rio Grande St, Salt Lake City, UT 84101""",#N/A,8:00 AM
Kings Peak Coffee Roasters Greenprint,"""592 W 200 S #120, Salt Lake City, UT 84101""",#N/A,8:00 AM
The Rose Establishment,"""235 400 W, Salt Lake City, UT 84101""",#N/A,8:00 AM
The People's Coffee,"""177 E 200 S, Salt Lake City, UT 84111""",#N/A,8:00 AM
